thread_id,doc_id,num,subnum,op,timestamp,fourchan_date,name,title,referencing_comment,comments,poster_country,nreplies,formatted,media_link
156375099,132752360,156375099,0,1,1515717833,1/11/18(Thu)19:43,Anonymous,NA,NA,Is Ask.com /our search engine/?,DK,2,FALSE,https://i.4pcdn.org/pol/1515717833796.png
156796659,133175326,156798055,0,0,1516033646,1/15/18(Mon)11:27,Anonymous,NA,NA,"AskJeeves.

or as it's called now, https://www.ask.com/",US,NA,FALSE,NA
159353869,135733219,159356267,0,0,1517864544,2/5/18(Mon)16:02,Anonymous,NA,"159355595
","
Yes, I informed my brother about it and we both wrote posts on ask.com confirming it",US,NA,FALSE,NA
162503487,138831458,162513949,0,0,1520032157,3/2/18(Fri)18:09,Anonymous,NA,"162513678
",https://en.wikipedia.org/wiki/Ask.com,GB,NA,FALSE,https://i.4pcdn.org/pol/1520032157528.jpg
165933574,142249826,165933574,0,1,1522401194,3/30/18(Fri)5:13,Anonymous,Operation: Destory Facebook,NA,"Facebook has proven to be a menace of our current day. They have proven to encourage censorship, encourage the breakdown of real life relationships, they have proven to spy on their users, & they have proven to encourage & give a platform to pedophiles. They're our modern day 1984 totalitarian complete government & corporate control.
We need to complete the paradigm & destroy the reputation of Facebook. We must make it look old, out of date, something no one uses, what ask.com, AIM became, & myspace became: irrelevant & an afterthought.
Mark Zuckerberg does not care about his users, he does not think about them, all he does is try & see the quickest way to make money: at the expense of your privacy.

Use these points to tell people who still use Facebook:

Facebook Spies on you:
http://www.dailymail.co.uk/news/article-5552913/Cambridge-Analytica-whistleblower-accuses-Facebook-spying-people-using-mobile-phones.html
Facebook Became Platform for Pedos:
http://nymag.com/selectall/2018/03/facebook-videos-of-search-auto-filled-to-child-porn-videos.html
Facebook Called its users “Dumb Fucks”:
http://gawker.com/5636765/facebook-ceo-admits-to-calling-users-dumb-fucks
Tech Companies encourage censorship:
https://www.aljazeera.com/programmes/listeningpost/2018/03/deleted-suspended-demoted-censorship-silicon-valley-style-180317111051502.html

If Facebook is brought up:
>smear it
>suggest its boring
>always bring up Facebook spies on you
>always bring up they are a platform for predators
>always warn they spy to the point they listen to everything
>scare users into becoming paranoid w/ Facebook
>smear Zuck
>Zuckerberg is a rich government shill, cannot speak normally, is a robot, does not like its users

More on Failing Facebook:

Zuckerberg Strange Robot like Body Language:
https://www.youtube.com/watch?v=5F9JfZDJKCQ
Facebook losing money:
http://money.cnn.com/2018/03/27/news/companies/facebook-stock-zuckerberg/index.html",US,10,FALSE,https://i.4pcdn.org/pol/1522401194542.jpg
186860135,163159476,186860135,0,1,1537842135,9/24/18(Mon)22:22,Anonymous,How do we destroy Google?,NA,"Google is no longer a good company. 

Their search engine fucking blows. I have to go to duckduckgo or yandex or bing or ask.com (RIP jeeves) just to search normal shit I usually got top results for on google. I have to dig to page 6 just to get anything relevant on Google. And their google images are brainlet tier bullshit. Search for ""dog""? Hurr get lots of pictures of Trump's face on a dog's body. Search for ""hitler""? Hurr get lots of pictures of Trump. Search for space? Hurr get lots of pictures of Trump being anally probed. You get the picture.

Their email fucking sucks. Nothing that protonmail can't do 100 times better. And they recently launched a new visual format that makes me reminisce of the days of the digg v3 exodus, when users CARED. This kind of bullshit Google is pulling with their mail should be launching mass exoduses right now! But why aren't they? I'll get to that.

Their ad system fucking sucks too now. Not only are tons of people blocking the ads, they're also using adNauseum, causing a lot of ad data from Google to be garbage data.

Let's not even get started on the captcha and how much that fucking sucks and how painfully obvious it's some shit recognition system for their AI cars. 

Google's only worth right now is in their AI labs which only the beneficiaries of Google get to peek at and enjoy the fruits of.

Only reason people are still using Google is because it has a monopoly. And by its own merit, Google should NOT have a monopoly. It SUCKS, and the only reason it does is its historical advantage. Now it is time for it to be destroyed and replaced.

Ideas on how to achieve this, boys?",US,31,FALSE,https://i.4pcdn.org/pol/1537842135809.png
193617861,169913551,193618174,0,0,1542358675,11/16/18(Fri)3:57,Anonymous,NA,"193618138
",">not using ask.com
okay mate",AU,NA,FALSE,NA
210485076,186749154,210494310,0,0,1555680582,4/19/19(Fri)9:29,Anonymous,NA,"210493897
","lycos.com
search.com
metasearch.com
ask.com",US,NA,FALSE,NA
213301160,189555587,213303590,0,0,1558039032,5/16/19(Thu)16:37,Anonymous,NA,"213301633
",">In 2008, Dictionary.com was acquired by Ask.com, an IAC company

>IAC's board of directors consists of the following members:[5]

Barry Diller, Chairman (Jew)
Victor Kaufman, Vice Chairman (Jew)
Chelsea Clinton, Director[88] (Married to Jew)
Edgar Bronfman Jr., Director (Jew)
Michael Eisner, Director (Jew)
Prince Alexander von Fürstenberg, Director (Jew)
Bonnie Hammer, Director (Jew)
Joey Levin, Director (Jew)
Bryan Lourd, Director (NOT A JEW)
David Rosenblatt, Director (Jew)
Alan Spoon, Director (Looks Jewish but not sure)
Richard F. Zannino, Director (NOT A JEW)",US,NA,FALSE,NA
217364150,193614327,217365340,0,0,1561430084,6/24/19(Mon)22:34,Anonymous,NA,"217364679
",why arent you guys using the white man's search engine of choice Ask.com?,CA,NA,FALSE,https://i.4pcdn.org/pol/1561430084628.png
