thread_id,doc_id,num,subnum,op,timestamp,fourchan_date,name,title,referencing_comment,comments,poster_country,nreplies,formatted,media_link
162860389,139182848,162865391,0,0,1520278829,3/5/18(Mon)14:40,Anonymous,NA,"162865173
","AWS, ElasticSearch, some kind of queue system, nosql document stores, postgresql, other miscellaneous shit. Dude if you live out here and have the skills there should be 0 problem finding a job. They are desperate for engineers.",US,NA,FALSE,NA
177120114,153440681,177127994,0,0,1530456015,7/1/18(Sun)10:40,Anonymous,NA,"177127090
","No my job is more data engineering. I don't really have to manipulate the data much, just make sure it gets from point A to point B. But we do apply some transformations and enhancements to the data, so we need to know what everything means.

Elasticsearch/logstash/kibana. But the most relevant things are whatever they ask for around you.",US,NA,FALSE,NA
186588488,162902518,186603067,0,0,1537647840,9/22/18(Sat)16:24,Anonymous,NA,NA,"GUYS THIS IS GOLD! (https://github.com/elastic/elasticsearch)

master: 8194
slave: 81
sanity check: 21
dumb: 48
silly: 28
insane: 5
crazy: 107
stupid: 59
lame: 128
lunatic: 4
idiot: 12
nigger: 8
nigga: 12
sexist: 952
whitelist: 645
blacklist: 213
nazi: 20
hitler: 4
trump: 46
disable: 1389
normal: 3326",NA,NA,FALSE,NA
186588488,162902862,186603414,0,0,1537648072,9/22/18(Sat)16:27,Anonymous,NA,NA,REEEEEE WHYD THEY MENTION TRUMP https://github.com/elastic/elasticsearch/blob/2fa09f062e5fe4165b457fb2b42ff4b65acdb8c7/plugins/mapper-annotated-text/src/test/java/org/elasticsearch/search/highlight/AnnotatedTextHighlighterTests.java#L136,CA,NA,FALSE,NA
186588488,162903303,186603847,0,0,1537648368,9/22/18(Sat)16:32,Anonymous,NA,"186603723
","NEW ISSUE: https://github.com/elastic/elasticsearch/issues/33969
oh damn commenting it roight now",CA,NA,FALSE,NA
186604776,162905084,186605664,0,0,1537649548,9/22/18(Sat)16:52,Anonymous,NA,NA,"ISSUES

https://github.com/crystal-lang/crystal/issues/6765
https://github.com/nim-lang/Nim/issues/9030
https://github.com/torvalds/uemacs/issues/16
https://github.com/crystal-lang/crystal/issues/6767
https://github.com/crystal-lang/crystal/issues/6769
https://github.com/crystal-lang/crystal/blob/0004179c9576c89d14e617423828af6f31e6d7a1/spec/std/xml/xml_spec.cr#L228
https://github.com/crystal-lang/crystal/issues/6770
https://github.com/raysan5/raylib/issues/647
https://github.com/torvalds/linux/search?q=master&unscoped_q=master
https://github.com/torvalds/linux/search?q=slave&unscoped_q=slave
https://github.com/raysan5/raylib/issues/648
https://github.com/crystal-lang/crystal/issues/6772
https://github.com/crystal-lang/crystal/pull/6773
https://github.com/pallets/flask/issues/2919
https://github.com/pallets/flask/issues/2920
https://github.com/crystal-lang/crystal/issues/6774
https://github.com/crystal-lang/crystal/issues/6775
https://github.com/laurent22/joplin/issues
https://github.com/Microsoft/vscode/search?q=whitelist&unscoped_q=whitelist
https://github.com/raysan5/raylib/search?q=1488&unscoped_q=1488
https://github.com/Microsoft/vscode/issues/59166
https://github.com/tensorflow/tensorflow/issues/22468
https://github.com/raysan5/raylib/issues/649
https://github.com/crystal-lang/crystal/blob/b6ef064852810d7b011fd05661702edab3904662/man/crystal.1#L136 im opening an issue btw
https://github.com/crystal-lang/crystal/issues/6776
https://github.com/unpkg/unpkg.com/pull/81
https://github.com/reduxjs/redux/pull/2335
https://github.com/rtfd/readthedocs.org/pull/3752
https://github.com/krzysztofzablocki/Sourcery/issues/2
https://github.com/google/xi-editor/pull/126
https://github.com/elastic/elasticsearch/blob/2fa09f062e5fe4165b457fb2b42ff4b65acdb8c7/plugins/mapper-annotated-text/src/test/java/org/elasticsearch/search/highlight/AnnotatedTextHighlighterTests.java#L136
https://github.com/elastic/elasticsearch/issues/33969
https://github.com/crystal-lang/crystal/issues/6777",US,NA,FALSE,NA
186678413,162977993,186678559,0,0,1537710619,9/23/18(Sun)9:50,Anonymous,NA,NA,"PAST ISSUES (Maybe a little too SJW-y lol)

https://github.com/crystal-lang/crystal/issues/6765
https://github.com/nim-lang/Nim/issues/9030
https://github.com/torvalds/uemacs/issues/16
https://github.com/crystal-lang/crystal/issues/6767
https://github.com/crystal-lang/crystal/issues/6769
https://github.com/crystal-lang/crystal/blob/0004179c9576c89d14e617423828af6f31e6d7a1/spec/std/xml/xml_spec.cr#L228
https://github.com/crystal-lang/crystal/issues/6770
https://github.com/raysan5/raylib/issues/647
https://github.com/torvalds/linux/search?q=master&unscoped_q=master
https://github.com/torvalds/linux/search?q=slave&unscoped_q=slave
https://github.com/raysan5/raylib/issues/648
https://github.com/crystal-lang/crystal/issues/6772
https://github.com/crystal-lang/crystal/pull/6773
https://github.com/pallets/flask/issues/2919
https://github.com/pallets/flask/issues/2920
https://github.com/crystal-lang/crystal/issues/6774
https://github.com/crystal-lang/crystal/issues/6775
https://github.com/laurent22/joplin/issues
https://github.com/Microsoft/vscode/search?q=whitelist&unscoped_q=whitelist
https://github.com/raysan5/raylib/search?q=1488&unscoped_q=1488
https://github.com/Microsoft/vscode/issues/59166
https://github.com/tensorflow/tensorflow/issues/22468
https://github.com/raysan5/raylib/issues/649
https://github.com/crystal-lang/crystal/blob/b6ef064852810d7b011fd05661702edab3904662/man/crystal.1#L136 im opening an issue btw
https://github.com/crystal-lang/crystal/issues/6776
https://github.com/unpkg/unpkg.com/pull/81
https://github.com/reduxjs/redux/pull/2335
https://github.com/rtfd/readthedocs.org/pull/3752
https://github.com/krzysztofzablocki/Sourcery/issues/2
https://github.com/google/xi-editor/pull/126
https://github.com/elastic/elasticsearch/issues/33969
https://github.com/crystal-lang/crystal/issues/6777",HR,NA,FALSE,NA
189928817,166231887,189934348,0,0,1539900218,10/18/18(Thu)18:03,Anonymous,NA,"189933723
","anways thanks, I was going to fool around with elasticsearch and tensorflow anyways, might as well take this db to test shit",DE,NA,FALSE,NA
202817299,179080904,202818537,0,0,1549892402,2/11/19(Mon)8:40,Anonymous,NA,"202817518
","they sure have that info anyways.
twitter is based on elasticsearch so it's easy for them anyways.
dunno if one could formerly look up the people who liked a tweet, but one can look it up on their website, on the api side I can't find how to look up likes of people or who liked a tweet, one can get the rough number of likes a tweet has though
with favourited on can see wether you urself liked a tweet and favourite_count gets you the number",DE,NA,FALSE,NA
203737882,180002144,203740566,0,0,1550615550,2/19/19(Tue)17:32,RFC-1488,NA,"203740028
","
It was posted in the OP.

I'll just come out and say it since this thread is dead. I'm proposing a redesign which leverages modern web framework standards. A thick client with Vue/Vuex data binding attached to dockerized C#/Entity Framework API. DDoS resilient CDN. Elasticsearch cluster. Data lake with analytics tables which are regularly processed by burstable compute-optimized worker instances. These analytics inform the userbase of successful and attempted inorganic user activity. 

Help me build it?",US,NA,FALSE,NA
