thread_id,doc_id,num,subnum,op,timestamp,fourchan_date,name,title,referencing_comment,comments,poster_country,nreplies,formatted,media_link
168206638,144525165,168209349,0,0,1523798378,4/15/18(Sun)9:19,Anonymous,NA,"168208924
","Copy it, reverse it and paste it into GigaBlast",NA,NA,FALSE,NA
186696501,162999510,186700139,0,0,1537726835,9/23/18(Sun)14:20,Anonymous,NA,NA,"Im going to post some shady search engines, check them with caution:
Dog pile, blekko, Gigablast, linkedin people search, linkedin job search, key hole, Flickr, crunch base, 
Have fun",LT,NA,FALSE,NA
210937200,187199449,210945054,0,0,1556042062,4/23/19(Tue)13:54,Anonymous,NA,"210943955
",Is this where aged anons become roommates in based Houses of Comradeship with Coscto delivered tendies and gigablast internet? I'm in if you are. I'd rather have one of you guys helping me in old age than some hateful immigrant,US,NA,FALSE,NA
244982876,221227734,245000801,0,0,1582487556,2/23/20(Sun)14:52,Anonymous,NA,"244998477
","Checked. Using the ""white couple image search"" test reveals that it's poz. All around.

ecosia.org, dogpile.com, qwant.com, duckduck.com, bing.com
Same results, the kind of shit you expect from Google, only slower.

yandex.com
Fewer niggers, more arabs.

gigablast.com
Slow, ugly, I think this one is a joke.

ask.com
No image search, found no video, websearch is pozed as fuck.

sarchy.tech
First result is gay, the rest seem okay?

metager.org
That one kind of works.

Now, if you need to search something else, I don't know; I'd wager most search engines are make-believe bullshit dragging their results from the same pool using the same technique. If you just want to avoid Google for the sake of it, any will do, really.",NA,NA,FALSE,NA
248157354,224409059,248184735,0,0,1584251331,3/15/20(Sun)1:48,Anonymous,NA,"248182858
",">>>Avoid google....
CAN you/we even avoid google at this point honestly? There really isn't no competition, Bing? I've never liked it. Duckduckgo? Not reliable enough. Never tried Yandex desu, and I also never realized how many search engines are out there

Google
Bing
Yahoo
DuckDuckGo
Dogpile
Yandex
AOL
Baidu
Ixquick
Yippy
Lycos
Gigablast
Wolfram Alpha
HotBot
WebCrawler
Naver
AlltheWeb
AltaVista
MetaCrawler
blekko
Ecosia
Exalead
Yahoo! Search
Mojeek",US,NA,FALSE,NA
253510666,229739742,253520667,0,0,1586921570,4/14/20(Tue)23:32,Anonymous,NA,"253519819
","yandex basically has different filters on it so to speak due to the language differences.
So here is a list of some search engines to use.
Google, Bing, Yandex, Baidu, Dogpile, Yahoo, Gigablast, Goodsearch, Duckduckgo, Blekko, Entireweb, yippy, ask, swisscows, startpage, searchencrypt, gibiru, onesearch, wiki.com, boardreader, internetarchive.",US,NA,FALSE,NA
264981359,241197885,264991886,0,0,1593193891,6/26/20(Fri)13:51,Anonymous,NA,"264981359
",">not using gigablast
you're still being filtered by the zog anon",NA,NA,FALSE,NA
265611102,241828757,265623189,0,0,1593524439,6/30/20(Tue)9:40,Anonymous,NA,NA,"JEWGLE ALTERNATIVES

https://duckduckgo.com/
https://bing.com/
https://search.yahoo.com/
https://searx.ninja/
https://private.sh/
https://ecosia.org/
https://alohafind.com/
https://gopher.com/
https://startpage.com/
https://qwant.com/
https://mojeek.com/
https://yandex.com/
https://gigablast.com/",US,NA,FALSE,NA
286116801,262297126,286117721,0,0,1604202783,10/31/20(Sat)23:53,Anonymous,NA,"286117639
",Gigablast,AU,NA,FALSE,NA
295068792,271124269,295089859,0,0,1607266388,12/6/20(Sun)9:53,Anonymous,NA,"295068792
","use this search engine
https://www.gigablast.com/",NA,NA,FALSE,NA
298428707,274461610,298430073,0,0,1608871564,12/24/20(Thu)23:46,Anonymous,NA,NA,"Gigablast, the last non pozzed search engine",AU,NA,FALSE,NA
301862990,277903353,301876104,0,0,1610334349,1/10/21(Sun)22:05,Anonymous,NA,NA,"I like gigablast for results most mainstream ones don't return, Google is getting worse even without the censorship, Swisscows is ok too",AU,NA,FALSE,NA
302220032,278260033,302233115,0,0,1610466955,1/12/21(Tue)10:55,Anonymous,NA,"302232564
","https://private.sh
https://ecosia.org
https://alohafind.com
https://gopher.com
https://startpage.com
https://qwant.com
https://mojeek.com
https://infinitysearch.co
https://spot.ecloud.global
https://gigablast.com
https://swisscows.com",US,NA,FALSE,NA
